tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
Paiute,Time 1 and 2,5.303571428571429,5.444444444444445,41.29007891876847,-118.4526313989088,40.40650673591527,-117.75284711342614,41.353477101636024,-118.2945733936117,40.45137704074356,-117.64982655052722,1512,56,27,114.65849405063975,114.13612023172433
Pamunkey,Time 1 and 2,3.8,3,38.6379800478331,-76.72269727249665,37.70982203437246,-77.09398359271847,38.63809655223667,-76.72269386696775,37.70982203437245,-77.09398359271846,5,5,1,108.31033177914993,108.32278528294421
Paugussett,Time 1 and 2,4.5,4.5,41.338401738237415,-73.1621701169407,41.37887013495478,-72.74618267753618,41.338622571926614,-73.16241242491857,41.38065356484461,-72.74727162373847,4,2,2,35.048562318454714,35.00070806564086
Pawnee,Time 1 and 2,2.8493150684931505,3.5,40.73025183842889,-98.83283509066848,36.19734696827398,-96.83965775881941,40.73718427925863,-98.82816991286437,36.197424122539516,-96.83986699982925,146,73,2,533.6270871272834,534.2081309608482
Pecos Pueblo,Time 1 and 2,5,5,35.43279803286009,-106.08335813576994,35.69008867730724,-106.869263410228,35.435454885082194,-106.08365054926665,35.690088677307244,-106.86926341022799,4,4,1,76.71639297695937,76.58077230101786
Penobscot,Time 1 and 2,3.8,3,45.50685930829568,-68.50951562749394,45.407569360718945,-68.64945571993637,45.50809639494572,-68.50633342427783,45.40756936071894,-68.64945571993637,5,5,1,15.542461677066827,15.81520234138834
Peoria,Time 1 and 2,2.730538922155689,3,39.548121798492666,-86.02177437273694,36.835506103148504,-94.81012266163275,39.59287404730442,-86.04783830272795,36.83550610314852,-94.81012266163275,167,167,1,825.6116193653419,825.1070884722584
Pequot Mohegan,Time 1 and 2,5,5,41.48920139750856,-72.10430258461277,41.48920139750856,-72.10430258461277,41.48920139750856,-72.10430258461277,41.48920139750856,-72.10430258461277,1,1,1,0,0
Picuris Pueblo,Time 1 and 2,5,5,36.581376696589935,-105.63097692774441,36.581376696589935,-105.63097692774441,36.581376696589935,-105.63097692774441,36.581376696589935,-105.63097692774441,1,1,1,0,0
Pima,Time 1 and 2,5.4,5.5,32.530402096750684,-112.07594463301429,33.12879578245198,-111.91796290180916,32.5348801466973,-112.07178391229958,33.130107116942725,-111.91651054970194,10,5,2,68.23232689903895,67.83342374244548
Pit River,Time 1 and 2,5.833333333333333,6.25,40.69863777934116,-121.92108015108774,40.618041344171075,-121.68726117021278,40.70286453848411,-121.92730195425668,40.62364071618908,-121.6982252030637,24,6,4,21.688269838093976,21.259182794774283
Pojoaque Pueblo,Time 1 and 2,5,5,35.50846116871701,-105.97744194618194,35.50846116871701,-105.97744194618194,35.50846116871702,-105.97744194618194,35.50846116871702,-105.97744194618194,1,1,1,0,0
Pomo,Time 1 and 2,6.34375,6.6,37.86887735460651,-121.15444654032905,38.44138736584689,-122.14525909807983,37.878548655982776,-121.1366921172542,38.44840795100503,-122.13230040225167,160,32,5,107.62758418996356,107.78416900842723
Ponca,Time 1 and 2,2.6666666666666665,3,41.793190444610254,-98.92452420771122,38.61532642621966,-97.42172731882992,41.79731002768177,-98.9043727152407,38.61496987996236,-97.40833081877231,36,12,3,376.10629721168857,376.37946214984265
Potawatomi,Time 1 and 2,2.6218181818181816,2.923076923076923,40.86714353668836,-86.86983861014258,41.4827125130774,-89.98312340293938,40.949751784490964,-86.85957775661088,41.58516226227089,-90.20395045607486,3575,275,13,269.69638114530886,288.6105367014085
Puyallup,Time 1 and 2,5.666666666666667,5.5,47.25962478150091,-123.07530057331445,47.26594799210715,-121.98788369736602,47.261272743967,-123.07420422641484,47.26605022753966,-121.98853923876716,12,6,2,82.15181172305843,82.01682062299624
Quapaw,Time 1 and 2,3.5853658536585367,3,34.34210388007287,-94.87739176032349,36.835506103148504,-94.81012266163275,34.36891662463114,-94.8623870310521,36.83550610314852,-94.81012266163275,82,82,1,277.63103316845525,274.6202150817989
Quechan,Time 1 and 2,5.5,5.5,33.32123503601358,-114.81181188887719,32.905517094073645,-114.6367582203167,33.32445114694815,-114.81037375219275,32.9076390401524,-114.6356483288541,8,4,2,49.07152211384269,49.17609382769936
Quileute,Time 1 and 2,5.666666666666667,5.666666666666667,47.64658373446503,-123.75534087879142,47.64658373446503,-123.75534087879142,47.64668123585442,-123.75512652656658,47.64668123585442,-123.75512652656658,9,3,3,0,0
Quinault,Time 1 and 2,5.666666666666667,5.333333333333333,47.64658373446503,-123.75534087879142,47.27378920977907,-123.3907137730152,47.64668123585442,-123.75512652656658,47.2745127090292,-123.38931643088443,9,3,3,49.752386240406985,49.74337983890327
Rogue River,Time 1 and 2,5.2631578947368425,5.333333333333333,44.523127331232075,-122.75575039980326,44.92690411691932,-123.53043774700905,44.52563782905949,-122.75562520280667,44.92716376695403,-123.53137387933442,57,19,3,75.98963654684565,75.90834302412318
S'Klallam,Time 1 and 2,5.6,5.5,47.58513877401648,-123.41917470818161,47.84161148172131,-123.28329149539057,47.586060224716135,-123.4187485247618,47.843388779945414,-123.28074695089201,10,5,2,30.310234033484132,30.45338745913654
Salish,Time 1 and 2,4.470588235294118,4.5,47.168776262258476,-113.95814211540332,47.66570879099508,-114.29966839225334,47.17629365198424,-113.94085548408684,47.666736504517154,-114.2992121559943,68,17,4,61.007280647057264,60.90317926840279
Samish,Time 1 and 2,5.5,6,48.54202570607754,-122.3667453154869,48.26442128514769,-121.74150549103203,48.54358820156584,-122.36603298820656,48.26442389445239,-121.74140104922238,4,2,2,55.588309511340995,55.647166972869215
San Felipe Pueblo,Time 1 and 2,5,5,35.69008867730724,-106.869263410228,35.69008867730724,-106.869263410228,35.690088677307244,-106.86926341022799,35.690088677307244,-106.86926341022799,1,1,1,0,0
San Ildefonso Pueblo,Time 1 and 2,5,5,35.68830702264548,-106.38673858352453,35.50846116871701,-105.97744194618194,35.688866719774055,-106.38648193652324,35.50846116871702,-105.97744194618194,3,3,1,42.11115828223357,42.12027938331688
San Juan Pueblo,Time 1 and 2,6,6,36.51223998008181,-106.6936167988832,36.51223998008181,-106.6936167988832,36.512239980081816,-106.6936167988832,36.512239980081816,-106.6936167988832,1,1,1,0,0
Santa Ana Pueblo,Time 1 and 2,5,5,35.69008867730724,-106.869263410228,35.69008867730724,-106.869263410228,35.690088677307244,-106.86926341022799,35.690088677307244,-106.86926341022799,1,1,1,0,0
Santa Clara Pueblo,Time 1 and 2,6,5.333333333333333,36.51223998008181,-106.6936167988832,35.90359660870202,-106.51344071843104,36.512239980081816,-106.6936167988832,35.90421287905487,-106.51240851451222,3,1,3,69.65982404424247,69.61470329940589
Santee Sioux,Time 1 and 2,2.9555555555555557,3,42.98093739198474,-97.70801952424286,42.63791424676311,-97.89177843936035,NaN,NaN,42.63791424676311,-97.89177843936035,180,180,1,41.02815809349457,NaN
Satsop,Time 1 and 2,5,5,46.5376258239211,-122.93575509599503,47.03543896295689,-123.30585866734634,46.53920758073547,-122.93268555210618,47.03642780748776,-123.30491271674522,18,9,2,62.183277670501916,62.197822962781544
Seminole,Time 1 and 2,4.666666666666667,5.25,29.78841757682947,-84.5714107922844,28.706968683633388,-84.86468489639691,NaN,NaN,28.866188593348273,-84.58690465879229,304,76,4,123.7102509937715,NaN
Seneca,Time 1 and 2,2.7142857142857144,3,41.515460038352394,-81.50597180158422,41.11792637241719,-82.6695610100619,41.58019923379946,-81.53393657510009,41.34127387281744,-82.91917059366757,560,70,8,106.87719746601942,118.58137049365817
Shasta,Time 1 and 2,5.3478260869565215,5.333333333333333,44.02216239086333,-122.75305054468235,44.92690411691932,-123.53043774700905,44.025037029624805,-122.75265912537323,44.92716376695403,-123.53137387933442,69,23,3,118.1370932156233,117.94342178902482
Shawnee,Time 1 and 2,2.8028169014084505,3,39.79769002779396,-85.16856705662309,36.835506103148504,-94.81012266163275,39.865572859602246,-85.21230486283163,36.83550610314852,-94.81012266163275,142,142,1,903.7546147544717,902.6240017408197
Shinnecock,Time 1 and 2,4,4,40.879005642372356,-72.81052426426542,40.879005642372356,-72.81052426426542,40.879005642372356,-72.81052426426544,40.879005642372356,-72.81052426426544,1,1,1,0,0
Shoshone,Time 1 and 2,4.875,5,41.713435581131925,-114.4163251353219,41.11942001994414,-114.95336673636905,41.75927764026123,-114.4231660332507,41.16637349903491,-115.02034017487442,1440,80,18,79.89047278650567,82.69150191610387
Sioux,Time 1 and 2,2.6715867158671585,2.7096774193548385,44.13070634344457,-97.62791278555525,45.45486396149038,-100.30763141876068,NaN,NaN,NaN,NaN,8401,271,31,257.9358177805958,NaN
Sisseton,Time 1 and 2,2.6751054852320677,2.5714285714285716,44.06368788958969,-97.32209676650844,45.611749385642504,-97.24169980938467,NaN,NaN,45.612254632138175,-97.24119011693081,1666,238,7,172.4462068617513,NaN
Siuslaw,Time 1 and 2,5.35,6,44.57252477804868,-122.89229850234815,43.9094809185336,-123.96467399569416,44.575498758127125,-122.89517474465806,43.909520081211795,-123.96584314270268,40,20,2,112.96708115375931,113.07631668717404
Skagit,Time 1 and 2,5.666666666666667,6,48.484108751227886,-122.01230756702536,48.26442128514769,-121.74150549103203,48.484672915633176,-122.01401308661455,48.264423894452406,-121.74140104922238,6,3,2,31.607766432945215,31.740916215029348
Skokomish,Time 1 and 2,5.6,6,47.65511081933686,-122.58836361988568,47.35064238436912,-123.18635472037144,47.65739538241718,-122.58954970879766,47.35064238436912,-123.18635472037145,5,5,1,56.31205147070185,56.39369465998027
Snohomish,Time 1 and 2,6,6,48.04683615641304,-121.71697137115932,48.04683615641304,-121.71697137115932,48.04683615641305,-121.71697137115932,48.04683615641305,-121.71697137115932,1,1,1,0,0
Snoqualmie,Time 1 and 2,5.5,6,47.76956086328679,-121.77577160527082,48.04683615641304,-121.71697137115932,47.769575878466334,-121.77608509441662,48.04683615641305,-121.71697137115932,2,2,1,31.17643718055769,31.178083162356177
Spokane,Time 1 and 2,4,4.5,47.66055530149635,-118.04626006426186,47.99092965423479,-118.13685593059503,47.66153007714633,-118.04536038111438,47.99127645169289,-118.1391178764213,12,6,2,37.395204339217166,37.370024863266835
Squaxin,Time 1 and 2,5.6,6,47.400602973786405,-122.94466775115846,47.35064238436912,-123.18635472037144,47.402130104864604,-122.9412579129369,47.35064238436912,-123.18635472037145,5,5,1,19.049355172543795,19.344778938223747
Squiaitl,Time 1 and 2,5.6,6,47.400602973786405,-122.94466775115846,48.04683615641304,-121.71697137115932,47.402130104864604,-122.9412579129369,48.04683615641305,-121.71697137115932,5,5,1,116.7340657680907,116.42716903148579
Stillaguamish,Time 1 and 2,6,6,48.26442128514769,-121.74150549103203,48.04683615641304,-121.71697137115932,48.26442389445239,-121.74140104922238,48.04683615641305,-121.71697137115932,2,2,1,24.28989341703882,24.289602527069125
Suquamish,Time 1 and 2,5.125,5,48.18812356428402,-121.62931075118632,47.63530028231818,-122.64349618416242,48.192176850297955,-121.63033809386026,47.63530028231816,-122.64349618416239,8,8,1,97.53615323185049,97.7598804112245
Swinomish,Time 1 and 2,6,6,48.48200641388233,-121.76603961090473,48.48200641388233,-121.76603961090473,48.48200641388232,-121.76603961090473,48.48200641388232,-121.76603961090473,1,1,1,0,0
Tachi,Time 1 and 2,6.375,5,36.935309310310174,-120.18623853027952,36.07473854243773,-119.81584094199003,36.94244895771186,-120.18276048183097,36.074738542437714,-119.81584094199003,16,16,1,101.36916222641541,102.01953194953772
Takelma,Time 1 and 2,5.666666666666667,6,42.7352245116592,-123.22002922980712,44.643632533367416,-123.86989375466999,42.73841875157425,-123.21957372873857,44.643632533367416,-123.86989375466999,6,6,1,218.7863446990492,218.44954280924966
Taos Pueblo,Time 1 and 2,5,5,36.59399878838154,-105.13911088060553,36.581376696589935,-105.63097692774441,36.595009315864175,-105.13919133772141,36.581376696589935,-105.63097692774441,2,2,1,43.987104296656184,43.983366442840726
Tesuque Pueblo,Time 1 and 2,5,5,35.50846116871701,-105.97744194618194,35.50846116871701,-105.97744194618194,35.50846116871702,-105.97744194618194,35.50846116871702,-105.97744194618194,1,1,1,0,0
Tillamook,Time 1 and 2,5.4,6,44.609614735765334,-122.95883516615629,44.643632533367416,-123.86989375466999,44.61285544284363,-122.96345166270406,44.643632533367416,-123.86989375466999,20,20,1,72.27846133241415,71.89312930148785
Tohono O'Odham,Time 1 and 2,5.4,5.333333333333333,32.530402096750684,-112.07594463301429,32.78526551866298,-111.87507487652756,32.534880146697304,-112.07178391229958,32.786148443947866,-111.87377902362722,15,5,3,34.04898300871957,33.56675207535652
Tolowa,Time 1 and 2,6,6.5,42.19041662414565,-123.87041252727781,42.67321635897015,-123.872835360859,42.19068009290603,-123.87035974552664,42.67321639656387,-123.87292866025824,6,3,2,53.74538928954289,53.7161102855894
Tule River Mono,Time 1 and 2,6.333333333333333,6,36.86252507524049,-120.20182566045294,36.22156798722475,-118.80206565843989,36.8701116530156,-120.19788375202269,36.22156798722475,-118.80206565843989,15,15,1,144.0924711830287,144.20190514494638
Tuolumne Me-Wuk,Time 1 and 2,6.380952380952381,7,37.35123204971328,-120.52685155370882,38.02707283635547,-119.95243157767823,37.357541348228025,-120.52398361969296,38.027072836355465,-119.95243157767823,21,21,1,90.6676054064922,89.94281180715376
Tuscarora,Time 1 and 2,3.1842105263157894,3,40.689553798909394,-79.12701965656986,43.19913881190322,-78.74771394350489,40.72785219252485,-79.0664075152905,43.19913881190322,-78.74771394350488,38,38,1,281.1245421494335,276.363568069364
Umatilla,Time 1 and 2,4.2727272727272725,4,45.60715734523808,-118.53067999507238,45.451542136365475,-118.37092591259952,45.610863473487456,-118.53200454238987,45.452120640481986,-118.37001453257419,22,11,2,21.337645261331797,21.721917897853285
Umpqua,Time 1 and 2,5.35,5.6,44.57252477804868,-122.89229850234815,44.24753274408212,-123.56378054436001,44.57549875812713,-122.89517474465805,44.24805491571936,-123.56506955563773,100,20,5,64.49834832421969,64.54631361564965
Unkechaug,Time 1 and 2,4,4,40.879005642372356,-72.81052426426542,40.879005642372356,-72.81052426426542,40.879005642372356,-72.81052426426544,40.879005642372356,-72.81052426426544,1,1,1,0,0
Ute,Time 1 and 2,5.346938775510204,5.181818181818182,38.67727197474153,-109.36758818743415,38.80340660248777,-109.58580299969279,38.705189760458865,-109.36383186559931,38.81196647332289,-109.56241943832217,539,49,11,23.582861506409344,20.939267586484302
Wailaki,Time 1 and 2,6,6,39.7835152096966,-122.8139779221612,39.519886046851155,-122.89259221025736,39.78494520656635,-122.81685402859323,39.520951248663906,-122.89316067530449,4,2,2,30.1106294801321,30.10660058832418
Walla Walla,Time 1 and 2,4.181818181818182,4,45.71274081502886,-118.4121967392439,45.451542136365475,-118.37092591259952,45.715331091837065,-118.41210379385377,45.452120640481986,-118.37001453257419,22,11,2,29.253753953279077,29.483370444047182
Wappo,Time 1 and 2,6.304347826086956,6,38.14530565167502,-121.36219625627325,39.1022981107285,-122.75393714567217,38.15334408898977,-121.34504659672636,39.102298110728505,-122.75393714567217,23,23,1,161.23973236293185,161.7713648566355
Wasco,Time 1 and 2,5.142857142857143,5.2,44.94163572835417,-121.87457037025506,44.87487031285056,-121.93654608187406,44.951076137533974,-121.87476161491209,44.87663772588685,-121.93710812624572,105,21,5,8.894604724172053,9.634419817326547
Washoe,Time 1 and 2,6.142857142857143,6.571428571428571,38.57962340031909,-118.7651268965516,39.28294787182523,-119.64580942021036,38.59368580164532,-118.7394914650793,39.283979418955816,-119.64098630508236,147,21,7,109.29641212980032,109.53310621438621
Winnebago,Time 1 and 2,2.54,3,43.64637850879316,-91.64574965739844,43.23818542433369,-93.67369098298789,43.6855218294701,-91.61760471463134,43.27401104467454,-93.72461079139526,100,50,2,170.0861173027877,176.24565722910083
Wintun,Time 1 and 2,6,5.75,39.7835152096966,-122.8139779221612,39.22556465294262,-122.48015327961566,39.78494520656635,-122.81685402859323,39.226883259152814,-122.47841084672535,8,2,4,68.40940063301495,68.5875959543751
Wishkah,Time 1 and 2,5,5,46.5376258239211,-122.93575509599503,47.03543896295689,-123.30585866734634,46.53920758073547,-122.93268555210618,47.03642780748776,-123.30491271674522,18,9,2,62.183277670501916,62.197822962781544
Wyandotte,Time 1 and 2,2.6906474820143886,3,40.37110246480077,-83.97672655048413,36.835506103148504,-94.81012266163275,40.39605259177473,-83.99629486934961,36.83550610314852,-94.81012266163275,139,139,1,1020.4196036709681,1019.7720685492595
Wynoochee,Time 1 and 2,5,5,46.5376258239211,-122.93575509599503,47.03543896295689,-123.30585866734634,46.53920758073547,-122.93268555210618,47.03642780748776,-123.30491271674522,18,9,2,62.183277670501916,62.197822962781544
Yahooskin,Time 1 and 2,5.3,6,42.73845910967336,-121.07051347530997,42.69253494831058,-121.65009313344926,42.74684993370212,-121.08864456959573,42.692534948310566,-121.65009313344925,10,10,1,47.67853184936598,46.313995822436986
Yakama,Time 1 and 2,4.375,4.333333333333333,47.14080663848746,-120.65310569015692,46.30354710390831,-121.30742863859341,47.1469572063048,-120.65246226404422,46.306109556347174,-121.30478873452617,48,16,3,105.73563585307537,106.01437226691466
Yankton Sioux,Time 1 and 2,3.0085470085470085,3,44.20151542888898,-99.75789849636675,43.20726893088375,-98.5891962769917,NaN,NaN,43.20726893088375,-98.58919627699169,117,117,1,145.23908957657298,NaN
Yavapai,Time 1 and 2,5.647058823529412,6,33.75279289565203,-112.00706357112104,33.97662691459573,-112.52273174861662,33.77031451370921,-112.00026021737943,33.97663099883469,-112.52249800492496,34,17,2,53.7853675503859,53.4534527503542
Yokut,Time 1 and 2,6.363636363636363,6,37.26002721604427,-120.44509751817463,36.77077442129264,-119.55374015280513,37.26664887386619,-120.44031532518868,36.77159566138917,-119.55134305786578,88,22,4,96.14224016290726,96.33234128180257
Zia Pueblo,Time 1 and 2,5,5,35.69008867730724,-106.869263410228,35.69008867730724,-106.869263410228,35.690088677307244,-106.86926341022799,35.690088677307244,-106.86926341022799,1,1,1,0,0
Zuni,Time 1 and 2,5,5,35.58136916772902,-108.26178726856838,35.24673028698533,-108.13016610889643,35.58136916772903,-108.26178726856838,35.24680153798681,-108.12962287582472,2,1,2,39.118912974216386,39.1264334546103
A-wall-a-che,Time 1 only,7,NaN,37.72225394021411,-120.28540160334119,NaN,NaN,37.723324638769064,-120.28613438201151,NaN,NaN,3,3,1,NaN,NaN
Abenaki,Time 1 only,3.4634146341463414,NaN,44.05666804390052,-71.80678592814313,NaN,NaN,44.065735864770026,-71.81124558327008,NaN,NaN,41,41,1,NaN,NaN
Agawams,Time 1 only,3.6666666666666665,NaN,41.932185634855266,-72.56476211429674,NaN,NaN,41.932311426492866,-72.56471286983614,NaN,NaN,3,3,1,NaN,NaN
Bat-si,Time 1 only,5.8,NaN,39.727836552999484,-121.31008512444531,NaN,NaN,39.729368787140345,-121.30914928742234,NaN,NaN,5,5,1,NaN,NaN
Be-no-pi,Time 1 only,5.666666666666667,NaN,39.11552444750543,-121.06603363764607,NaN,NaN,39.1162812495122,-121.06717551033233,NaN,NaN,6,6,1,NaN,NaN
Buena Vista,Time 1 only,6.5,NaN,35.23453346797216,-118.60577693045695,NaN,NaN,35.24120542343882,-118.6071457168707,NaN,NaN,8,8,1,NaN,NaN
Ca-la-na-po,Time 1 only,6.25,NaN,38.64053340256244,-122.23114446527605,NaN,NaN,38.64104134934408,-122.23001132902802,NaN,NaN,4,4,1,NaN,NaN
Cahokia,Time 1 only,2.6666666666666665,NaN,39.170861574107235,-89.11000622833211,NaN,NaN,39.172868233486476,-89.11157636251184,NaN,NaN,54,54,1,NaN,NaN
Calusa,Time 1 only,5.6875,NaN,26.871316734109673,-81.30783721554788,NaN,NaN,NaN,NaN,NaN,NaN,17,17,1,NaN,NaN
Canarsie,Time 1 only,3,NaN,40.67359111909953,-73.8831128300524,NaN,NaN,40.673610053771526,-73.88314995738801,NaN,NaN,2,2,1,NaN,NaN
Car-I-se,Time 1 only,6.5,NaN,35.23453346797216,-118.60577693045695,NaN,NaN,35.24120542343882,-118.6071457168707,NaN,NaN,8,8,1,NaN,NaN
Cas-son,Time 1 only,5.833333333333333,NaN,36.840458473050965,-119.77594107199394,NaN,NaN,36.84177230562359,-119.773753286924,NaN,NaN,6,6,1,NaN,NaN
Cas-take,Time 1 only,6.5,NaN,35.23453346797216,-118.60577693045695,NaN,NaN,35.24120542343882,-118.6071457168707,NaN,NaN,8,8,1,NaN,NaN
Cha,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
Cha-nel-kai,Time 1 only,6.25,NaN,38.64053340256244,-122.23114446527605,NaN,NaN,38.64104134934408,-122.23001132902802,NaN,NaN,4,4,1,NaN,NaN
Cham-et-ko,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
Chap-pah-sim,Time 1 only,6.4,NaN,37.91124402742752,-120.83890360849057,NaN,NaN,37.91358947386725,-120.83963530457049,NaN,NaN,10,10,1,NaN,NaN
Che-com,Time 1 only,6.25,NaN,38.64053340256244,-122.23114446527605,NaN,NaN,38.64104134934408,-122.23001132902802,NaN,NaN,4,4,1,NaN,NaN
Che-no,Time 1 only,5.8,NaN,39.727836552999484,-121.31008512444531,NaN,NaN,39.729368787140345,-121.30914928742234,NaN,NaN,5,5,1,NaN,NaN
Cheraw,Time 1 only,3.3846153846153846,NaN,34.70286443572447,-78.90414992981573,NaN,NaN,34.70727067489434,-78.90777526089191,NaN,NaN,39,39,1,NaN,NaN
Cheroenhaka,Time 1 only,3.2142857142857144,NaN,36.98070569453785,-77.71295320492732,NaN,NaN,36.98216402394254,-77.71276203094382,NaN,NaN,14,14,1,NaN,NaN
Cho-e-nem-nee,Time 1 only,5.833333333333333,NaN,36.840458473050965,-119.77594107199394,NaN,NaN,36.84177230562359,-119.773753286924,NaN,NaN,6,6,1,NaN,NaN
Cho-ki-men-a,Time 1 only,5.833333333333333,NaN,36.840458473050965,-119.77594107199394,NaN,NaN,36.84177230562359,-119.773753286924,NaN,NaN,6,6,1,NaN,NaN
Choi-nuck,Time 1 only,5.6,NaN,36.69249274353947,-119.74970868215169,NaN,NaN,36.694045152477386,-119.74739209682235,NaN,NaN,5,5,1,NaN,NaN
Chow-chil-lie,Time 1 only,5.833333333333333,NaN,36.840458473050965,-119.77594107199394,NaN,NaN,36.84177230562359,-119.773753286924,NaN,NaN,6,6,1,NaN,NaN
Chow-chilla,Time 1 only,6,NaN,37.21641020326049,-119.76551201770374,NaN,NaN,37.21641020326048,-119.76551201770376,NaN,NaN,1,1,1,NaN,NaN
Chowanoke,Time 1 only,3.6666666666666665,NaN,36.12564101145197,-76.65760827774216,NaN,NaN,36.125864398009746,-76.65773948171756,NaN,NaN,3,3,1,NaN,NaN
Christian Indians or Munsee,Time 1 only,3,NaN,38.5646496070075,-95.28644239784852,NaN,NaN,38.5646496070075,-95.28644239784852,NaN,NaN,1,1,1,NaN,NaN
Chu-nute,Time 1 only,6,NaN,36.03912338475988,-118.68998327620194,NaN,NaN,36.04213608993132,-118.69182383731905,NaN,NaN,4,4,1,NaN,NaN
Co-co-noon,Time 1 only,7,NaN,37.72225394021411,-120.28540160334119,NaN,NaN,37.723324638769064,-120.28613438201151,NaN,NaN,3,3,1,NaN,NaN
Co-com-cah-ra,Time 1 only,6.333333333333333,NaN,33.787756665163954,-116.70959983388082,NaN,NaN,33.79177557461979,-116.70722123946359,NaN,NaN,6,6,1,NaN,NaN
Co-ha-ma,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
Co-lu,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
Co-to-plan-e-nee,Time 1 only,6.4,NaN,37.91124402742752,-120.83890360849057,NaN,NaN,37.91358947386725,-120.83963530457049,NaN,NaN,10,10,1,NaN,NaN
Co-ye-tie,Time 1 only,6,NaN,36.03912338475988,-118.68998327620194,NaN,NaN,36.04213608993132,-118.69182383731905,NaN,NaN,4,4,1,NaN,NaN
Confederated Bands of Willamette Valley,Time 1 only,5.266666666666667,NaN,44.938767831423355,-122.65477919773242,NaN,NaN,44.94134483573069,-122.65374327149573,NaN,NaN,15,15,1,NaN,NaN
Corchaug,Time 1 only,4,NaN,40.879005642372356,-72.81052426426542,NaN,NaN,40.879005642372356,-72.81052426426544,NaN,NaN,1,1,1,NaN,NaN
Cu-lee,Time 1 only,6.25,NaN,38.56872337873275,-120.58614672511843,NaN,NaN,38.56996216483193,-120.58660660001422,NaN,NaN,4,4,1,NaN,NaN
Da-no-ha-bo,Time 1 only,6.25,NaN,38.64053340256244,-122.23114446527605,NaN,NaN,38.64104134934408,-122.23001132902802,NaN,NaN,4,4,1,NaN,NaN
Das-pia,Time 1 only,5.666666666666667,NaN,39.11552444750543,-121.06603363764607,NaN,NaN,39.1162812495122,-121.06717551033233,NaN,NaN,6,6,1,NaN,NaN
Doc-duc,Time 1 only,5.444444444444445,NaN,39.62028733178481,-122.41769576659708,NaN,NaN,39.621491874222585,-122.41636173264395,NaN,NaN,9,9,1,NaN,NaN
